ProductID,ProductName,ProductDescription,is_sunglass,ProductStandardPrice,is_available,photoURL,FrameType_T_FrameTypeID
1,Lapis Lazuli Salmon Glasses,Lorem ipsum sunglasses,TRUE,1893.41,TRUE,https://imgur.com/a/fake1,1821
2,Ocean Boat Blue Analysis Glasses,Lorem ipsum sunglasses,FALSE,756.39,FALSE,https://imgur.com/a/fake2,2422
3,Carmine Pink Bison Glasses,Lorem ipsum sunglasses,FALSE,1561.89,TRUE,https://imgur.com/a/fake1,598
4,Rusty Red Hero Glasses,Lorem ipsum sunglasses,TRUE,1850.7,TRUE,https://imgur.com/a/fake2,3209
5,Paris Green Radius Glasses,Lorem ipsum sunglasses,TRUE,715.22,TRUE,https://imgur.com/a/fake1,2660
6,Pale Carmine Tattoo Glasses,Lorem ipsum sunglasses,TRUE,206,FALSE,https://imgur.com/a/fake2,2556
7,Almond Louse Glasses,Lorem ipsum sunglasses,FALSE,1925.63,TRUE,https://imgur.com/a/fake1,27
8,Light Green Pliers Glasses,Lorem ipsum sunglasses,FALSE,937.54,TRUE,https://imgur.com/a/fake2,1968
9,Persian Blue Ox Glasses,Lorem ipsum sunglasses,TRUE,143.68,TRUE,https://imgur.com/a/fake1,2779
10,Pale Green Penny Glasses,Lorem ipsum sunglasses,TRUE,1263.13,FALSE,https://imgur.com/a/fake2,2595
11,Sinopia Goose Glasses,Lorem ipsum sunglasses,TRUE,1672.26,TRUE,https://imgur.com/a/fake1,3356
12,Pale Copper Suspenders Glasses,Lorem ipsum sunglasses,FALSE,647.43,TRUE,https://imgur.com/a/fake2,2572
13,Sandstorm Vertebra Glasses,Lorem ipsum sunglasses,FALSE,1889.17,TRUE,https://imgur.com/a/fake1,3248
14,Wine Dregs Species Glasses,Lorem ipsum sunglasses,TRUE,910.65,FALSE,https://imgur.com/a/fake2,3864
15,Gray-Asparagus Shorts Glasses,Lorem ipsum sunglasses,TRUE,1254.8,TRUE,https://imgur.com/a/fake1,1595
16,Persian Indigo Antenna Glasses,Lorem ipsum sunglasses,TRUE,1865.36,TRUE,https://imgur.com/a/fake2,2786
17,Viridian Analysis Glasses,Lorem ipsum sunglasses,FALSE,796.6,TRUE,https://imgur.com/a/fake1,3782
18,Pastel Brown Syllabus Glasses,Lorem ipsum sunglasses,FALSE,940.31,FALSE,https://imgur.com/a/fake2,2668
19,Bright Pink Fish Glasses,Lorem ipsum sunglasses,TRUE,1970.69,TRUE,https://imgur.com/a/fake1,394
20,Electric Crimson Scarf Glasses,Lorem ipsum sunglasses,TRUE,1630.81,TRUE,https://imgur.com/a/fake2,1315
21,Copper Carp Glasses,Lorem ipsum sunglasses,TRUE,1029.35,TRUE,https://imgur.com/a/fake1,806
22,Antique Ruby Synthesis Glasses,Lorem ipsum sunglasses,FALSE,1298.6,FALSE,https://imgur.com/a/fake2,72
